n_samples,algorithm,ddim.schedule_params.jump_length,ddim.schedule_params.jump_n_sample,optimize_xt.num_iteration_optimize_xt,optimize_xt.lr_xt,lpips_score_sample0,psnr_score_sample0,ssim_score_sample0,mean time
1,ddim,10,3,2,0.02,0.217,11.623,0.645,45.04348826408386
1,o_ddim,10,1,2,0.02,0.143,17.545,0.731,299.9822509288788
1,o_ddim,5,3,2,0.01,0.096,20.217,0.779,1595.6580901145935
1,repaint,20,1,8,0.01,0.142,15.788,0.757,718.519458770752
1,ddim,10,3,8,0.02,0.217,11.623,0.645,47.43867349624634
1,ddim,20,2,5,0.02,0.217,11.623,0.645,47.543949604034424
1,o_ddim,5,1,2,0.03,0.131,18.721,0.741,358.684424161911
1,ddim,5,2,5,0.01,0.217,11.623,0.645,45.24135708808899
1,o_ddim,5,1,8,0.02,0.148,17.712,0.721,1673.97048163414
1,repaint,20,2,5,0.02,0.142,15.788,0.757,385.8119258880615
1,repaint,20,1,2,0.01,0.142,15.788,0.757,868.7187433242798
1,ddim,10,1,5,0.02,0.217,11.623,0.645,45.615434408187866
1,o_ddim,5,2,2,0.02,0.114,18.213,0.744,1443.1176192760468
1,repaint,10,2,8,0.02,0.142,15.788,0.757,873.6910111904144
1,repaint,10,1,8,0.02,0.142,15.788,0.757,870.7521021366119
1,repaint,5,2,5,0.01,0.142,15.788,0.757,397.4243459701538
1,repaint,10,3,2,0.01,0.142,15.788,0.757,859.4986317157745
1,repaint,20,3,8,0.03,0.142,15.788,0.757,393.2519781589508
1,repaint,5,2,2,0.03,0.142,15.788,0.757,388.1772413253784
1,repaint,10,1,2,0.01,0.142,15.788,0.757,876.046733379364
1,ddim,10,2,8,0.03,0.217,11.623,0.645,46.234572649002075
1,o_ddim,10,2,5,0.02,0.142,14.883,0.719,1408.251559972763
1,repaint,5,2,8,0.02,0.142,15.788,0.757,395.09282398223877
1,repaint,10,2,5,0.01,0.142,15.788,0.757,769.7837665081024
1,o_ddim,5,2,2,0.03,0.140,17.493,0.712,1546.971260547638
1,repaint,5,3,8,0.01,0.142,15.788,0.757,856.9388267993927
1,repaint,20,1,8,0.02,0.142,15.788,0.757,392.81261920928955
1,repaint,20,2,8,0.03,0.142,15.788,0.757,395.5237383842468
1,repaint,5,3,2,0.01,0.142,15.788,0.757,397.6181344985962
1,ddim,20,1,2,0.02,0.217,11.623,0.645,43.20283389091492
1,ddim,10,2,5,0.02,0.217,11.623,0.645,42.99087190628052
1,o_ddim,10,2,8,0.02,0.143,15.053,0.713,2436.221522092819
1,ddim,20,3,8,0.02,0.217,11.623,0.645,45.44745683670044
1,repaint,20,1,8,0.03,0.142,15.788,0.757,386.88268971443176
1,ddim,20,3,8,0.03,0.217,11.623,0.645,46.34358263015747
1,ddim,5,2,8,0.03,0.217,11.623,0.645,46.775540351867676
1,ddim,5,1,8,0.01,0.217,11.623,0.645,43.579538345336914
1,ddim,20,2,8,0.03,0.217,11.623,0.645,46.123392820358276
1,ddim,20,1,8,0.02,0.217,11.623,0.645,45.16386699676514
1,o_ddim,10,2,5,0.03,0.149,15.758,0.710,1497.5848653316498
1,o_ddim,10,1,5,0.01,0.130,17.811,0.745,650.3370568752289
1,ddim,10,2,2,0.03,0.217,11.623,0.645,46.15546798706055
1,o_ddim,5,3,8,0.03,0.160,18.058,0.720,3685.482885360718
1,repaint,5,3,2,0.03,0.142,15.788,0.757,385.91253113746643
1,repaint,20,3,5,0.02,0.142,15.788,0.757,394.34310030937195
1,repaint,20,2,8,0.01,0.142,15.788,0.757,394.8997929096222
1,ddim,10,3,2,0.03,0.217,11.623,0.645,45.561599016189575
1,ddim,10,3,2,0.01,0.217,11.623,0.645,43.78853106498718
1,ddim,5,1,5,0.01,0.217,11.623,0.645,46.14338397979736
1,repaint,10,3,2,0.03,0.142,15.788,0.757,848.3164484500885
1,repaint,10,1,2,0.02,0.142,15.788,0.757,876.2326657772064
1,o_ddim,5,2,5,0.02,0.126,17.754,0.721,1825.0502910614014
1,repaint,20,3,5,0.01,0.142,15.788,0.757,392.53267765045166
1,ddim,5,3,8,0.02,0.217,11.623,0.645,44.747251749038696
